,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,M Khan,19,11,31.0,0,222,9,24.66,7.16,20.6,0,0,0
1,H Brar,54,49,196.0,4,2352,59,39.86,12.0,20.0,2,1,0
2,R Meredith,53,48,192.0,4,1728,49,35.27,9.0,24.0,2,0,0
3,R Bishnoi,47,44,132.0,1,1056,40,26.4,8.0,20.0,0,1,0
4,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,0
5,C Jordan,43,43,151.3,0,1300,54,24.07,8.58,16.8,2,0,0
6,S Ahmed,17,17,55.0,3,365,15,24.33,6.63,22.0,0,0,0
7,D Sams,63,58,232.0,4,3944,71,55.55,17.0,20.0,3,0,0
8,H Patel,4,4,15.0,0,82,7,11.71,5.46,12.8,1,0,0
9,M Siraj,3,3,12.0,0,148,3,49.33,12.33,24.0,0,0,0
10,Y Chahal,36,36,140.3,1,1139,52,21.9,8.1,16.2,2,1,0
