,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,S Ahmed,17,17,55.0,3,365,15,24.33,6.63,22.0,0,0,0
1,W Sundar,18,18,63.0,1,417,15,27.8,6.61,25.2,0,0,0
2,H Patel,4,4,15.0,0,82,7,11.71,5.46,12.8,1,0,0
3,M Siraj,3,3,12.0,0,148,3,49.33,12.33,24.0,0,0,0
4,Y Chahal,36,36,140.3,1,1139,52,21.9,8.1,16.2,2,1,0
5,J Holder,17,17,62.1,0,524,13,40.3,8.42,28.6,0,0,0
6,R Khan,45,45,171.0,1,1052,84,12.52,6.15,12.2,3,2,0
7,B Kumar,43,43,154.2,2,1088,41,26.53,7.04,22.5,0,1,0
8,S Nadeem,46,43,172.0,2,2236,37,60.43,13.0,28.0,3,0,0
9,T Natarajan,53,49,147.0,0,1323,39,33.92,9.0,23.0,3,1,0
