,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,H Shokeen,56,51,153.0,1,1377,45,30.6,9.0,20.0,2,0,0
1,D Sams,63,58,232.0,4,3944,71,55.55,17.0,20.0,3,0,0
2,J Unadkat,10,10,34.4,0,301,14,21.5,8.68,14.8,0,0,0
3,R Meredith,53,48,192.0,4,1728,49,35.27,9.0,24.0,2,0,0
4,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18.0,0,0,0
5,M Santner,39,38,128.5,1,928,49,18.93,7.2,15.7,1,0,0
6,D Pretorius,6,6,14.0,0,116,3,38.66,8.28,28.0,0,0,0
7,D Bravo,38,34,136.0,1,1496,26,57.54,11.0,31.0,2,1,0
8,M Choudhary,53,48,192.0,1,1536,50,30.72,8.0,23.0,0,0,0
9,M Theekshana,61,57,228.0,4,1596,57,28.0,7.0,24.0,2,0,0
