,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,L Yadav,57,54,216.0,3,3456,48,72.0,16.0,27.0,0,0,0
1,A Patel,11,11,39.0,0,265,9,29.44,6.79,26.0,0,0,0
2,R Ashwin,46,46,171.0,2,1193,52,22.94,6.97,19.7,2,0,0
3,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,0
4,A Nortje,52,47,188.0,4,1316,63,20.89,7.0,18.0,1,1,0
5,A Khan,30,30,99.2,2,692,34,20.35,6.96,17.5,0,0,0
6,R Tewatia,61,57,228.0,3,3648,64,57.0,16.0,21.0,2,1,0
7,K Tyagi,55,51,204.0,4,2244,40,56.1,11.0,31.0,2,1,0
8,C Sakariya,38,34,136.0,3,816,27,30.22,6.0,30.0,3,0,0
9,M Rahman,37,37,135.1,3,1065,52,20.48,7.87,15.5,1,1,0
