,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Tewatia,61,57,228.0,3,3648,64,57.0,16.0,21.0,2,1,0
1,R Khan,45,45,171.0,1,1052,84,12.52,6.15,12.2,3,2,0
2,R Kishore,39,36,144.0,0,1440,25,57.6,10.0,35.0,0,0,0
3,L Ferguson,8,8,31.0,0,222,14,15.85,7.16,13.2,0,0,0
4,Y Dayal,43,40,160.0,3,1600,36,44.44,10.0,27.0,1,0,0
5,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,0
6,S Ahmed,17,17,55.0,3,365,15,24.33,6.63,22.0,0,0,0
7,H Patel,4,4,15.0,0,82,7,11.71,5.46,12.8,1,0,0
8,J Hazlewood,51,48,192.0,2,2880,57,50.53,15.0,20.0,2,0,0
9,S Kaul,3,3,9.4,0,84,4,21.0,8.68,14.5,0,0,0
