,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Tewatia,61,57,228.0,3,3648,64,57.0,16.0,21.0,2,1,0
1,R Khan,45,45,171.0,1,1052,84,12.52,6.15,12.2,3,2,0
2,R Kishore,39,36,144.0,0,1440,25,57.6,10.0,35.0,0,0,0
3,A Joseph,57,54,162.0,4,1134,57,19.89,7.0,17.0,2,1,0
4,Y Dayal,43,40,160.0,3,1600,36,44.44,10.0,27.0,1,0,0
5,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,0
6,K Sharma,39,34,102.0,1,1122,51,22.0,11.0,12.0,3,1,0
7,K Pandya,18,18,66.2,1,538,14,38.42,8.11,28.4,1,0,0
8,J Holder,17,17,62.1,0,524,13,40.3,8.42,28.6,0,0,0
9,M Khan,19,11,31.0,0,222,9,24.66,7.16,20.6,0,0,0
10,A Khan,30,30,99.2,2,692,34,20.35,6.96,17.5,0,0,0
