,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,S Ahmed,17,17,55.0,3,365,15,24.33,6.63,22.0,0,0,0
1,H Patel,4,4,15.0,0,82,7,11.71,5.46,12.8,1,0,0
2,J Hazlewood,51,48,192.0,2,2880,57,50.53,15.0,20.0,2,0,0
3,M Siraj,3,3,12.0,0,148,3,49.33,12.33,24.0,0,0,0
4,R Tewatia,61,57,228.0,3,3648,64,57.0,16.0,21.0,2,1,0
5,R Khan,45,45,171.0,1,1052,84,12.52,6.15,12.2,3,2,0
6,P Sangwan,50,47,188.0,0,1692,50,33.84,9.0,23.0,1,0,0
7,A Joseph,57,54,162.0,4,1134,57,19.89,7.0,17.0,2,1,0
8,L Ferguson,8,8,31.0,0,222,14,15.85,7.16,13.2,0,0,0
9,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,0
