,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,W Sundar,18,18,63.0,1,417,15,27.8,6.61,25.2,0,0,0
1,R Shepherd,54,50,150.0,1,900,44,20.45,6.0,20.0,1,1,0
2,J Suchith,42,39,156.0,0,2028,42,48.29,13.0,22.0,3,0,0
3,B Kumar,43,43,154.2,2,1088,41,26.53,7.04,22.5,0,1,0
4,U Malik,63,60,240.0,0,2400,78,30.77,10.0,18.0,0,1,0
5,F Farooqi,63,59,236.0,4,2596,78,33.28,11.0,18.0,2,0,0
6,M Khan,19,11,31.0,0,222,9,24.66,7.16,20.6,0,0,0
7,H Brar,54,49,196.0,4,2352,59,39.86,12.0,20.0,2,1,0
8,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,0
9,N Ellis,50,46,184.0,4,2208,60,36.8,12.0,18.0,3,1,0
