,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Tewatia,61,57,228.0,3,3648,64,57.0,16.0,21.0,2,1,0
1,J Archer,1,1,4.0,0,29,2,14.5,7.25,12.0,0,0,0
2,S Gopal,46,41,123.0,4,861,27,31.89,7.0,27.0,3,0,0
3,A Rajpoot,59,56,224.0,0,1344,58,23.17,6.0,23.0,0,1,0
4,K Tyagi,55,51,204.0,4,2244,40,56.1,11.0,31.0,2,1,0
5,J Holder,17,17,62.1,0,524,13,40.3,8.42,28.6,0,0,0
6,R Khan,45,45,171.0,1,1052,84,12.52,6.15,12.2,3,2,0
7,S Sharma,54,49,196.0,2,2548,50,50.96,13.0,24.0,3,0,0
8,T Natarajan,53,49,147.0,0,1323,39,33.92,9.0,23.0,3,1,0
9,S Nadeem,46,43,172.0,2,2236,37,60.43,13.0,28.0,3,0,0
