,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Ashwin,46,46,171.0,2,1193,52,22.94,6.97,19.7,2,0,0
1,T Boult,27,27,98.5,1,854,39,21.89,8.64,15.2,1,0,0
2,Y Chahal,36,36,140.3,1,1139,52,21.9,8.1,16.2,2,1,0
3,K Sen,60,56,168.0,4,1176,52,22.62,7.0,19.0,0,0,0
4,L Yadav,57,54,216.0,3,3456,48,72.0,16.0,27.0,0,0,0
5,A Patel,11,11,39.0,0,265,9,29.44,6.79,26.0,0,0,0
6,S Thakur,7,7,27.3,0,242,8,30.25,8.8,20.6,1,0,0
7,K Yadav,19,19,71.3,1,499,37,13.48,6.97,11.5,1,1,0
8,A Nortje,52,47,188.0,4,1316,63,20.89,7.0,18.0,1,1,0
9,C Sakariya,38,34,136.0,3,816,27,30.22,6.0,30.0,3,0,0
