,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,W Sundar,18,18,63.0,1,417,15,27.8,6.61,25.2,0,0,0
1,M Jansen,61,57,228.0,3,2508,67,37.43,11.0,20.0,3,1,0
2,B Kumar,43,43,154.2,2,1088,41,26.53,7.04,22.5,0,1,0
3,T Natarajan,53,49,147.0,0,1323,39,33.92,9.0,23.0,3,1,0
4,U Malik,63,60,240.0,0,2400,78,30.77,10.0,18.0,0,1,0
5,R Tewatia,61,57,228.0,3,3648,64,57.0,16.0,21.0,2,1,0
6,R Khan,45,45,171.0,1,1052,84,12.52,6.15,12.2,3,2,0
7,L Ferguson,8,8,31.0,0,222,14,15.85,7.16,13.2,0,0,0
8,A Joseph,57,54,162.0,4,1134,57,19.89,7.0,17.0,2,1,0
9,Y Dayal,43,40,160.0,3,1600,36,44.44,10.0,27.0,1,0,0
10,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,0
