,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,M Agarwal,34,27,999,70,29.82,783,127.59,0,7,9,78,48,0
1,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,0
2,P Rajapaksa,5,5,131,77,32.75,95,137.89,0,1,0,7,9,0
3,L Livingstone,2,2,16,16,8.0,19,84.21,0,0,1,1,0,0
4,A Singh,46,39,1443,72,34.02,1131,127.59,0,5,9,98,43,0
5,A Rahane,46,42,1512,62,23.78,1134,133.33,0,1,0,74,54,0
6,V Iyer,50,44,1584,53,30.7,1012,156.52,0,5,1,77,41,0
7,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,0
8,S Billings,26,23,348,87,17.4,255,136.47,0,2,1,33,11,0
9,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,0
10,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,0
11,C Varun,39,32,1120,56,31.73,768,145.83,0,7,4,85,48,0
