,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,K Rahul,34,31,1138,110,43.76,777,146.46,2,8,1,102,50,0
1,C Gayle,58,54,1627,117,32.54,1139,142.84,2,13,3,138,105,0
2,M Agarwal,34,27,999,70,29.82,783,127.59,0,7,9,78,48,0
3,S Khan,38,14,122,29,13.55,96,127.08,0,0,2,6,6,0
4,N Pooran,16,16,312,58,24.0,247,126.31,0,2,1,24,17,0
5,M Singh,12,12,255,42,23.18,222,114.86,0,0,0,15,5,0
6,S Curran,5,3,35,24,11.66,23,152.17,0,0,0,3,2,0
7,A Rahane,46,42,1512,62,23.78,1134,133.33,0,1,0,74,54,0
8,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,0
9,S Samson,45,40,1440,63,23.83,1120,128.57,0,2,4,103,48,0
10,S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12,0
11,B Stokes,23,20,232,38,15.46,178,130.33,0,0,1,20,9,0
12,R Tripathi,35,28,952,48,37.86,784,121.43,0,2,9,90,55,0
13,D Kulkarni,53,49,1862,49,35.26,1274,146.15,0,3,0,75,53,0
