,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,Y Jaiswal,57,50,1550,61,25.8,1450,106.9,0,7,9,91,44,0
1,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,0
2,S Samson,45,40,1440,63,23.83,1120,128.57,0,2,4,103,48,0
3,D Padikkal,48,43,1376,46,29.0,1204,114.29,0,5,6,93,47,0
4,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,0
5,R Parag,47,41,1435,69,33.44,1189,120.69,0,6,2,77,44,0
6,M Krishna,50,43,1333,47,32.15,1204,110.71,0,4,0,95,39,0
7,W Saha,40,33,1023,52,41.21,957,106.9,0,3,8,75,52,0
8,S Gill,45,41,1435,46,40.26,984,145.83,0,1,5,79,47,0
9,M Wade,40,33,1122,74,30.36,858,130.77,0,0,2,83,42,0
10,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
11,D Miller,72,62,1309,101,29.75,935,140.0,1,2,0,91,57,0
