,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,K Rahul,34,31,1138,110,43.76,777,146.46,2,8,1,102,50,0
1,M Agarwal,34,27,999,70,29.82,783,127.59,0,7,9,78,48,0
2,M Singh,12,12,255,42,23.18,222,114.86,0,0,0,15,5,0
3,N Pooran,16,16,312,58,24.0,247,126.31,0,2,1,24,17,0
4,G Maxwell,61,54,1576,145,35.02,985,160.0,3,7,1,133,81,0
5,S Khan,38,14,122,29,13.55,96,127.08,0,0,2,6,6,0
6,S Cottrell,22,7,15,4,5.0,22,68.18,0,0,1,2,0,0
7,S Watson,40,35,1085,76,36.87,945,114.81,0,0,5,94,39,0
8,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,0
9,A Rayudu,48,41,1312,74,40.18,1148,114.29,0,4,3,87,52,0
10,K Jadhav,9,6,122,58,20.33,99,123.23,0,1,0,12,3,0
11,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,0
12,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,0
13,S Curran,5,3,35,24,11.66,23,152.17,0,0,0,3,2,0
14,P Chawla,49,44,1408,63,34.04,1012,139.13,0,4,6,74,48,0
