,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Uthappa,45,40,1360,70,29.91,1120,121.43,0,7,2,78,44,0
1,B Stokes,23,20,232,38,15.46,178,130.33,0,0,1,20,9,0
2,S Samson,45,40,1440,63,23.83,1120,128.57,0,2,4,103,48,0
3,S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12,0
4,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,0
5,R Parag,47,41,1435,69,33.44,1189,120.69,0,6,2,77,44,0
6,D Padikkal,48,43,1376,46,29.0,1204,114.29,0,5,6,93,47,0
7,A Finch,58,58,1878,172,38.32,1200,156.5,2,11,4,182,90,0
8,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
9,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,0
10,G Singh,57,52,1716,46,25.11,1248,137.5,0,1,3,96,52,0
11,C Morris,23,13,133,55,14.77,102,130.39,0,1,3,12,5,0
12,I Udana,27,19,226,84,22.6,152,148.68,0,1,2,15,13,0
