,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,J Philippe,54,48,1584,64,25.28,1248,126.92,0,7,3,94,41,0
1,D Padikkal,48,43,1376,46,29.0,1204,114.29,0,5,6,93,47,0
2,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
3,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,0
4,G Singh,57,52,1716,46,25.11,1248,137.5,0,1,3,96,52,0
5,C Morris,23,13,133,55,14.77,102,130.39,0,1,3,12,5,0
6,I Udana,27,19,226,84,22.6,152,148.68,0,1,2,15,13,0
7,D Warner,76,76,2079,100,30.57,1476,140.85,1,15,5,203,86,0
8,W Saha,40,33,1023,52,41.21,957,106.9,0,3,8,75,52,0
9,M Pandey,32,27,587,79,39.13,478,122.8,0,2,2,40,16,0
10,K Williamson,57,55,1505,73,31.35,1236,121.76,0,9,2,158,26,0
11,A Sharma,43,37,1147,44,24.83,999,114.81,0,4,3,97,50,0
12,A Samad,38,31,1178,59,33.53,744,158.33,0,4,2,85,49,0
