,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,0
1,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,0
2,S Yadav,56,49,1813,71,33.43,1225,148.0,0,7,4,79,47,0
3,I Kishan,56,52,1872,62,36.95,1404,133.33,0,0,5,84,40,0
4,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
5,K Pollard,68,58,1058,68,23.0,819,129.18,0,4,1,69,61,0
6,J Pattinson,34,30,1020,64,31.07,750,136.0,0,4,1,91,41,0
7,D Warner,76,76,2079,100,30.57,1476,140.85,1,15,5,203,86,0
8,J Bairstow,34,29,603,68,26.21,450,134.0,0,3,2,56,25,0
9,M Pandey,32,27,587,79,39.13,478,122.8,0,2,2,40,16,0
10,K Williamson,57,55,1505,73,31.35,1236,121.76,0,9,2,158,26,0
11,P Garg,57,51,1887,68,42.21,1377,137.04,0,2,4,96,42,0
12,A Sharma,43,37,1147,44,24.83,999,114.81,0,4,3,97,50,0
13,A Samad,38,31,1178,59,33.53,744,158.33,0,4,2,85,49,0
