,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,I Kishan,56,52,1872,62,36.95,1404,133.33,0,0,5,84,40,0
1,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,0
2,D Brevis,56,52,1820,47,32.19,1352,134.62,0,5,6,75,55,0
3,S Yadav,56,49,1813,71,33.43,1225,148.0,0,7,4,79,47,0
4,T Varma,41,37,1406,60,24.02,925,152.0,0,7,5,76,45,0
5,K Pollard,68,58,1058,68,23.0,819,129.18,0,4,1,69,61,0
6,R Singh,12,10,266,101,33.25,177,150.28,1,1,1,13,19,0
7,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,0
8,A Rawat,34,29,1015,76,30.71,725,140.0,0,6,3,87,47,0
9,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
10,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,0
11,G Maxwell,61,54,1576,145,35.02,985,160.0,3,7,1,133,81,0
12,P Silva,8,7,55,14,13.75,50,110.0,0,0,0,3,0,0
