,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Gaikwad,47,42,1386,44,23.68,1218,113.79,0,5,6,103,51,0
1,D Conway,54,48,1872,43,38.8,1104,169.57,0,6,0,80,52,0
2,R Uthappa,45,40,1360,70,29.91,1120,121.43,0,7,2,78,44,0
3,A Rayudu,48,41,1312,74,40.18,1148,114.29,0,4,3,87,52,0
4,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,0
5,S Dube,6,4,64,54,32.0,42,152.38,0,1,0,3,4,0
6,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,0
7,A Rahane,46,42,1512,62,23.78,1134,133.33,0,1,0,74,54,0
8,V Iyer,50,44,1584,53,30.7,1012,156.52,0,5,1,77,41,0
9,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,0
10,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,0
11,S Billings,26,23,348,87,17.4,255,136.47,0,2,1,33,11,0
12,S Jackson,35,30,1110,74,39.7,840,132.14,0,6,8,97,50,0
13,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,0
14,C Varun,39,32,1120,56,31.73,768,145.83,0,7,4,85,48,0
