,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
1,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,0
2,R Patidar,35,29,1044,62,30.28,812,128.57,0,4,1,80,45,0
3,G Maxwell,61,54,1576,145,35.02,985,160.0,3,7,1,133,81,0
4,M Lomror,40,35,1225,44,29.2,805,152.17,0,3,1,77,40,0
5,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,0
6,P Silva,8,7,55,14,13.75,50,110.0,0,0,0,3,0,0
7,Y Jaiswal,57,50,1550,61,25.8,1450,106.9,0,7,9,91,44,0
8,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,0
9,S Samson,45,40,1440,63,23.83,1120,128.57,0,2,4,103,48,0
10,D Padikkal,48,43,1376,46,29.0,1204,114.29,0,5,6,93,47,0
11,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,0
12,R Parag,47,41,1435,69,33.44,1189,120.69,0,6,2,77,44,0
13,M Krishna,50,43,1333,47,32.15,1204,110.71,0,4,0,95,39,0
