,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,J Philippe,54,48,1584,64,25.28,1248,126.92,0,7,3,94,41,0
1,D Padikkal,48,43,1376,46,29.0,1204,114.29,0,5,6,93,47,0
2,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
3,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,0
4,C Morris,23,13,133,55,14.77,102,130.39,0,1,3,12,5,0
5,S Dube,6,4,64,54,32.0,42,152.38,0,1,0,3,4,0
6,I Udana,27,19,226,84,22.6,152,148.68,0,1,2,15,13,0
7,P Shaw,53,47,1692,68,35.5,1128,150.0,0,0,1,80,39,0
8,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,0
9,A Rahane,46,42,1512,62,23.78,1134,133.33,0,1,0,74,54,0
10,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,0
11,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,0
12,M Stoinis,19,14,136,33,15.11,117,116.23,0,0,1,14,2,0
