,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,0
1,D Padikkal,48,43,1376,46,29.0,1204,114.29,0,5,6,93,47,0
2,S Samson,45,40,1440,63,23.83,1120,128.57,0,2,4,103,48,0
3,D Mitchell,9,9,97,30,16.16,79,122.78,0,0,0,5,4,0
4,R Parag,47,41,1435,69,33.44,1189,120.69,0,6,2,77,44,0
5,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,0
6,M Krishna,50,43,1333,47,32.15,1204,110.71,0,4,0,95,39,0
7,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
8,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,0
9,R Patidar,35,29,1044,62,30.28,812,128.57,0,4,1,80,45,0
10,G Maxwell,61,54,1576,145,35.02,985,160.0,3,7,1,133,81,0
11,S Prabhudessai,42,38,1216,56,33.94,1102,110.34,0,1,3,100,45,0
12,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,0
13,P Silva,8,7,55,14,13.75,50,110.0,0,0,0,3,0,0
