,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Gaikwad,47,42,1386,44,23.68,1218,113.79,0,5,6,103,51,0
1,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,0
2,M Ali,25,22,235,72,14.68,198,118.68,0,1,6,21,9,0
3,S Raina,78,66,1605,101,29.18,1190,134.87,1,5,3,145,58,0
4,A Rayudu,48,41,1312,74,40.18,1148,114.29,0,4,3,87,52,0
5,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,0
6,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,0
7,S Curran,5,3,35,24,11.66,23,152.17,0,0,0,3,2,0
8,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,0
9,M Vohra,45,39,1326,46,27.47,1053,125.93,0,4,8,76,41,0
10,S Samson,45,40,1440,63,23.83,1120,128.57,0,2,4,103,48,0
11,S Dube,6,4,64,54,32.0,42,152.38,0,1,0,3,4,0
12,D Miller,72,62,1309,101,29.75,935,140.0,1,2,0,91,57,0
13,R Parag,47,41,1435,69,33.44,1189,120.69,0,6,2,77,44,0
14,C Morris,23,13,133,55,14.77,102,130.39,0,1,3,12,5,0
