,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,J Denly,10,9,92,30,11.5,93,98.92,0,0,2,11,1,0
1,S Gill,45,41,1435,46,40.26,984,145.83,0,1,5,79,47,0
2,R Uthappa,45,40,1360,70,29.91,1120,121.43,0,7,2,78,44,0
3,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,0
4,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,0
5,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,0
6,C Brathwaite,41,27,310,37,14.76,274,113.13,0,0,3,13,22,0
7,P Chawla,49,44,1408,63,34.04,1012,139.13,0,4,6,74,48,0
8,M Krishna,50,43,1333,47,32.15,1204,110.71,0,4,0,95,39,0
9,P Shaw,53,47,1692,68,35.5,1128,150.0,0,0,1,80,39,0
10,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,0
11,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,0
12,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,0
13,C Ingram,49,42,1470,61,24.28,966,152.17,0,1,0,80,53,0
14,C Morris,23,13,133,55,14.77,102,130.39,0,1,3,12,5,0
15,K Paul,18,12,142,29,20.28,123,115.44,0,0,0,8,8,0
16,I Sharma,34,28,924,66,38.58,700,132.0,0,1,0,92,40,0
