,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,J Bairstow,34,29,603,68,26.21,450,134.0,0,3,2,56,25,0
1,D Warner,76,76,2079,100,30.57,1476,140.85,1,15,5,203,86,0
2,V Shankar,9,4,101,43,25.25,73,138.35,0,0,0,11,5,0
3,Y Pathan,40,34,1326,43,25.88,850,156.0,0,1,3,84,55,0
4,M Pandey,32,27,587,79,39.13,478,122.8,0,2,2,40,16,0
5,D Hooda,47,42,1344,67,33.09,966,139.13,0,3,6,78,51,0
6,P Patel,2,2,14,8,14.0,11,127.27,0,0,0,0,0,0
7,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,0
8,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
9,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,0
10,M Ali,25,22,235,72,14.68,198,118.68,0,1,6,21,9,0
11,S Dube,6,4,64,54,32.0,42,152.38,0,1,0,3,4,0
12,C Grandhomme,33,31,479,59,19.95,321,149.22,0,3,3,27,29,0
13,P Barman,42,38,1292,45,29.34,1064,121.43,0,3,2,93,40,0
