,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,0
1,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,0
2,S Yadav,56,49,1813,71,33.43,1225,148.0,0,7,4,79,47,0
3,I Kishan,56,52,1872,62,36.95,1404,133.33,0,0,5,84,40,0
4,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
5,K Pollard,68,58,1058,68,23.0,819,129.18,0,4,1,69,61,0
6,P Shaw,53,47,1692,68,35.5,1128,150.0,0,0,1,80,39,0
7,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,0
8,S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12,0
9,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,0
10,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,0
11,M Stoinis,19,14,136,33,15.11,117,116.23,0,0,1,14,2,0
12,A Mishra,37,32,1120,56,38.87,800,140.0,0,0,6,83,41,0
