,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,V Iyer,50,44,1584,53,30.7,1012,156.52,0,5,1,77,41,0
1,A Rahane,46,42,1512,62,23.78,1134,133.33,0,1,0,74,54,0
2,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,0
3,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,0
4,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,0
5,R Singh,12,10,266,101,33.25,177,150.28,1,1,1,13,19,0
6,S Jackson,35,30,1110,74,39.7,840,132.14,0,6,8,97,50,0
7,C Varun,39,32,1120,56,31.73,768,145.83,0,7,4,85,48,0
8,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,0
9,I Kishan,56,52,1872,62,36.95,1404,133.33,0,0,5,84,40,0
10,T Varma,41,37,1406,60,24.02,925,152.0,0,7,5,76,45,0
11,R Singh,12,10,266,101,33.25,177,150.28,1,1,1,13,19,0
12,K Pollard,68,58,1058,68,23.0,819,129.18,0,4,1,69,61,0
13,K Kartikeya,44,37,1295,64,27.49,1073,120.69,0,1,4,98,51,0
