,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,0
1,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,0
2,S Yadav,56,49,1813,71,33.43,1225,148.0,0,7,4,79,47,0
3,S Tiwary,40,36,1188,60,30.9,972,122.22,0,0,8,77,51,0
4,K Pollard,68,58,1058,68,23.0,819,129.18,0,4,1,69,61,0
5,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
6,P Shaw,53,47,1692,68,35.5,1128,150.0,0,0,1,80,39,0
7,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,0
8,S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12,0
9,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,0
10,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,0
11,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,0
