,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,E Lewis,29,28,833,125,30.85,544,153.12,2,5,3,54,67,0
1,Y Jaiswal,57,50,1550,61,25.8,1450,106.9,0,7,9,91,44,0
2,S Samson,45,40,1440,63,23.83,1120,128.57,0,2,4,103,48,0
3,L Livingstone,2,2,16,16,8.0,19,84.21,0,0,1,1,0,0
4,M Lomror,40,35,1225,44,29.2,805,152.17,0,3,1,77,40,0
5,R Parag,47,41,1435,69,33.44,1189,120.69,0,6,2,77,44,0
6,C Morris,23,13,133,55,14.77,102,130.39,0,1,3,12,5,0
7,J Roy,32,32,743,78,23.21,512,145.11,0,4,4,75,35,0
8,W Saha,40,33,1023,52,41.21,957,106.9,0,3,8,75,52,0
9,K Williamson,57,55,1505,73,31.35,1236,121.76,0,9,2,158,26,0
10,P Garg,57,51,1887,68,42.21,1377,137.04,0,2,4,96,42,0
11,A Sharma,43,37,1147,44,24.83,999,114.81,0,4,3,97,50,0
12,A Samad,38,31,1178,59,33.53,744,158.33,0,4,2,85,49,0
