,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,K Rahul,34,31,1138,110,43.76,777,146.46,2,8,1,102,50,0
1,M Agarwal,34,27,999,70,29.82,783,127.59,0,7,9,78,48,0
2,C Gayle,58,54,1627,117,32.54,1139,142.84,2,13,3,138,105,0
3,D Hooda,47,42,1344,67,33.09,966,139.13,0,3,6,78,51,0
4,N Pooran,16,16,312,58,24.0,247,126.31,0,2,1,24,17,0
5,J Richardson,9,3,13,7,13.0,6,216.66,0,0,1,2,0,0
6,A Singh,46,39,1443,72,34.02,1131,127.59,0,5,9,98,43,0
7,B Stokes,23,20,232,38,15.46,178,130.33,0,0,1,20,9,0
8,M Vohra,45,39,1326,46,27.47,1053,125.93,0,4,8,76,41,0
9,S Samson,45,40,1440,63,23.83,1120,128.57,0,2,4,103,48,0
10,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,0
11,S Dube,6,4,64,54,32.0,42,152.38,0,1,0,3,4,0
12,R Parag,47,41,1435,69,33.44,1189,120.69,0,6,2,77,44,0
13,C Morris,23,13,133,55,14.77,102,130.39,0,1,3,12,5,0
