,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
1,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,0
2,G Maxwell,61,54,1576,145,35.02,985,160.0,3,7,1,133,81,0
3,M Lomror,40,35,1225,44,29.2,805,152.17,0,3,1,77,40,0
4,R Patidar,35,29,1044,62,30.28,812,128.57,0,4,1,80,45,0
5,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,0
6,P Silva,8,7,55,14,13.75,50,110.0,0,0,0,3,0,0
7,R Gaikwad,47,42,1386,44,23.68,1218,113.79,0,5,6,103,51,0
8,D Conway,54,48,1872,43,38.8,1104,169.57,0,6,0,80,52,0
9,R Uthappa,45,40,1360,70,29.91,1120,121.43,0,7,2,78,44,0
10,A Rayudu,48,41,1312,74,40.18,1148,114.29,0,4,3,87,52,0
11,M Ali,25,22,235,72,14.68,198,118.68,0,1,6,21,9,0
12,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,0
13,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,0
14,S Singh,18,17,169,57,11.26,144,117.36,0,1,5,12,6,0
