,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,E Lewis,29,28,833,125,30.85,544,153.12,2,5,3,54,67,0
1,Y Jaiswal,57,50,1550,61,25.8,1450,106.9,0,7,9,91,44,0
2,S Samson,45,40,1440,63,23.83,1120,128.57,0,2,4,103,48,0
3,S Dube,6,4,64,54,32.0,42,152.38,0,1,0,3,4,0
4,G Phillips,11,10,140,56,15.55,140,100.0,0,1,0,9,5,0
5,D Miller,72,62,1309,101,29.75,935,140.0,1,2,0,91,57,0
6,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,0
7,I Kishan,56,52,1872,62,36.95,1404,133.33,0,0,5,84,40,0
8,S Yadav,56,49,1813,71,33.43,1225,148.0,0,7,4,79,47,0
9,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
10,S Tiwary,40,36,1188,60,30.9,972,122.22,0,0,8,77,51,0
11,K Pollard,68,58,1058,68,23.0,819,129.18,0,4,1,69,61,0
