,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,A Finch,58,58,1878,172,38.32,1200,156.5,2,11,4,182,90,0
1,V Iyer,50,44,1584,53,30.7,1012,156.52,0,5,1,77,41,0
2,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,0
3,B Indrajith,51,46,1656,54,33.26,1196,138.46,0,3,7,101,55,0
4,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,0
5,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,0
6,R Singh,12,10,266,101,33.25,177,150.28,1,1,1,13,19,0
7,H Rana,37,30,1080,65,36.12,780,138.46,0,7,3,88,39,0
8,P Shaw,53,47,1692,68,35.5,1128,150.0,0,0,1,80,39,0
9,D Warner,76,76,2079,100,30.57,1476,140.85,1,15,5,203,86,0
10,M Marsh,11,11,175,36,21.87,151,115.89,0,0,0,7,9,0
11,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,0
12,R Powell,23,18,311,54,20.73,250,124.4,0,2,1,26,13,0
