,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,A Rahane,46,42,1512,62,23.78,1134,133.33,0,1,0,74,54,0
1,L Livingstone,2,2,16,16,8.0,19,84.21,0,0,1,1,0,0
2,S Samson,45,40,1440,63,23.83,1120,128.57,0,2,4,103,48,0
3,M Lomror,40,35,1225,44,29.2,805,152.17,0,3,1,77,40,0
4,R Parag,47,41,1435,69,33.44,1189,120.69,0,6,2,77,44,0
5,S Binny,41,35,1155,44,42.56,805,143.48,0,4,8,77,50,0
6,I Sodhi,40,7,59,15,14.75,56,105.35,0,0,1,4,3,0
7,O Thomas,10,4,8,8,4.0,11,72.72,0,0,2,2,0,0
8,P Shaw,53,47,1692,68,35.5,1128,150.0,0,0,1,80,39,0
9,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,0
10,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,0
11,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,0
12,C Ingram,49,42,1470,61,24.28,966,152.17,0,1,0,80,53,0
13,S Rutherford,3,3,17,9,5.66,23,73.91,0,0,0,1,0,0
14,K Paul,18,12,142,29,20.28,123,115.44,0,0,0,8,8,0
15,A Mishra,37,32,1120,56,38.87,800,140.0,0,0,6,83,41,0
16,I Sharma,34,28,924,66,38.58,700,132.0,0,1,0,92,40,0
