,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,0
1,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,0
2,S Yadav,56,49,1813,71,33.43,1225,148.0,0,7,4,79,47,0
3,K Pollard,68,58,1058,68,23.0,819,129.18,0,4,1,69,61,0
4,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
5,I Kishan,56,52,1872,62,36.95,1404,133.33,0,0,5,84,40,0
6,A Rahane,46,42,1512,62,23.78,1134,133.33,0,1,0,74,54,0
7,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,0
8,S Samson,45,40,1440,63,23.83,1120,128.57,0,2,4,103,48,0
9,S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12,0
10,R Tripathi,35,28,952,48,37.86,784,121.43,0,2,9,90,55,0
11,L Livingstone,2,2,16,16,8.0,19,84.21,0,0,1,1,0,0
12,D Kulkarni,53,49,1862,49,35.26,1274,146.15,0,3,0,75,53,0
