,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Gaikwad,47,42,1386,44,23.68,1218,113.79,0,5,6,103,51,0
1,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,0
2,S Raina,78,66,1605,101,29.18,1190,134.87,1,5,3,145,58,0
3,A Rayudu,48,41,1312,74,40.18,1148,114.29,0,4,3,87,52,0
4,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,0
5,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,0
6,S Curran,5,3,35,24,11.66,23,152.17,0,0,0,3,2,0
7,I Tahir,38,4,19,9,19.0,18,105.55,0,0,0,1,1,0
8,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
9,D Padikkal,48,43,1376,46,29.0,1204,114.29,0,5,6,93,47,0
10,G Maxwell,61,54,1576,145,35.02,985,160.0,3,7,1,133,81,0
11,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,0
12,D Christian,16,7,27,9,6.75,28,96.42,0,0,1,2,0,0
13,K Jamieson,51,44,1364,66,24.71,1188,114.81,0,1,7,98,55,0
