,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,J Philippe,54,48,1584,64,25.28,1248,126.92,0,7,3,94,41,0
1,D Padikkal,48,43,1376,46,29.0,1204,114.29,0,5,6,93,47,0
2,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
3,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,0
4,S Dube,6,4,64,54,32.0,42,152.38,0,1,0,3,4,0
5,C Morris,23,13,133,55,14.77,102,130.39,0,1,3,12,5,0
6,G Singh,57,52,1716,46,25.11,1248,137.5,0,1,3,96,52,0
7,D Steyn,44,10,16,5,3.2,23,69.56,0,0,1,1,0,0
8,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,0
9,I Kishan,56,52,1872,62,36.95,1404,133.33,0,0,5,84,40,0
10,S Yadav,56,49,1813,71,33.43,1225,148.0,0,7,4,79,47,0
11,S Tiwary,40,36,1188,60,30.9,972,122.22,0,0,8,77,51,0
12,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
13,K Pollard,68,58,1058,68,23.0,819,129.18,0,4,1,69,61,0
14,J Pattinson,34,30,1020,64,31.07,750,136.0,0,4,1,91,41,0
