,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,0
1,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,0
2,E Lewis,29,28,833,125,30.85,544,153.12,2,5,3,54,67,0
3,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
4,K Pollard,68,58,1058,68,23.0,819,129.18,0,4,1,69,61,0
5,S Yadav,56,49,1813,71,33.43,1225,148.0,0,7,4,79,47,0
6,S Malinga,79,30,128,27,7.11,153,83.66,0,0,6,9,4,0
7,M Vijay,45,39,1365,48,35.0,936,145.83,0,4,3,74,42,0
8,S Watson,40,35,1085,76,36.87,945,114.81,0,0,5,94,39,0
9,S Raina,78,66,1605,101,29.18,1190,134.87,1,5,3,145,58,0
10,A Rayudu,48,41,1312,74,40.18,1148,114.29,0,4,3,87,52,0
11,K Jadhav,9,6,122,58,20.33,99,123.23,0,1,0,12,3,0
12,D Shorey,47,41,1312,47,25.92,1066,123.08,0,7,2,74,52,0
13,H Singh,7,6,117,44,39.0,102,114.7,0,0,0,6,3,0
14,I Tahir,38,4,19,9,19.0,18,105.55,0,0,0,1,1,0
