,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,0
1,M Vohra,45,39,1326,46,27.47,1053,125.93,0,4,8,76,41,0
2,S Samson,45,40,1440,63,23.83,1120,128.57,0,2,4,103,48,0
3,D Miller,72,62,1309,101,29.75,935,140.0,1,2,0,91,57,0
4,S Dube,6,4,64,54,32.0,42,152.38,0,1,0,3,4,0
5,R Parag,47,41,1435,69,33.44,1189,120.69,0,6,2,77,44,0
6,C Morris,23,13,133,55,14.77,102,130.39,0,1,3,12,5,0
7,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
8,D Padikkal,48,43,1376,46,29.0,1204,114.29,0,5,6,93,47,0
9,G Maxwell,61,54,1576,145,35.02,985,160.0,3,7,1,133,81,0
10,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,0
11,K Jamieson,51,44,1364,66,24.71,1188,114.81,0,1,7,98,55,0
12,K Richardson,15,2,9,9,4.5,8,112.5,0,0,1,0,0,0
