,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,W Saha,40,33,1023,52,41.21,957,106.9,0,3,8,75,52,0
1,S Gill,45,41,1435,46,40.26,984,145.83,0,1,5,79,47,0
2,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
3,D Miller,72,62,1309,101,29.75,935,140.0,1,2,0,91,57,0
4,A Manohar,47,40,1440,76,24.2,1040,138.46,0,7,2,103,54,0
5,S Billings,26,23,348,87,17.4,255,136.47,0,2,1,33,11,0
6,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,0
7,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,0
8,R Singh,12,10,266,101,33.25,177,150.28,1,1,1,13,19,0
9,V Iyer,50,44,1584,53,30.7,1012,156.52,0,5,1,77,41,0
10,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,0
11,C Varun,39,32,1120,56,31.73,768,145.83,0,7,4,85,48,0
