,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,M Agarwal,34,27,999,70,29.82,783,127.59,0,7,9,78,48,0
1,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,0
2,P Rajapaksa,5,5,131,77,32.75,95,137.89,0,1,0,7,9,0
3,L Livingstone,2,2,16,16,8.0,19,84.21,0,0,1,1,0,0
4,J Bairstow,34,29,603,68,26.21,450,134.0,0,3,2,56,25,0
5,J Sharma,36,30,1080,67,34.03,690,156.52,0,1,9,81,42,0
6,R Dhawan,34,29,899,57,33.95,696,129.17,0,2,6,99,51,0
7,A Singh,46,39,1443,72,34.02,1131,127.59,0,5,9,98,43,0
8,R Gaikwad,47,42,1386,44,23.68,1218,113.79,0,5,6,103,51,0
9,R Uthappa,45,40,1360,70,29.91,1120,121.43,0,7,2,78,44,0
10,S Dube,6,4,64,54,32.0,42,152.38,0,1,0,3,4,0
11,A Rayudu,48,41,1312,74,40.18,1148,114.29,0,4,3,87,52,0
12,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,0
13,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,0
