,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,0
1,P Singh,10,4,4,2,4.0,7,57.14,0,0,0,0,0,0
2,J Bairstow,34,29,603,68,26.21,450,134.0,0,3,2,56,25,0
3,L Livingstone,2,2,16,16,8.0,19,84.21,0,0,1,1,0,0
4,J Sharma,36,30,1080,67,34.03,690,156.52,0,1,9,81,42,0
5,A Singh,46,39,1443,72,34.02,1131,127.59,0,5,9,98,43,0
6,A Sharma,43,37,1147,44,24.83,999,114.81,0,4,3,97,50,0
7,K Williamson,57,55,1505,73,31.35,1236,121.76,0,9,2,158,26,0
8,R Tripathi,35,28,952,48,37.86,784,121.43,0,2,9,90,55,0
9,A Markram,2,2,18,15,9.0,17,105.88,0,0,0,1,1,0
10,N Pooran,16,16,312,58,24.0,247,126.31,0,2,1,24,17,0
11,S Singh,18,17,169,57,11.26,144,117.36,0,1,5,12,6,0
