,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Gaikwad,47,42,1386,44,23.68,1218,113.79,0,5,6,103,51,0
1,R Uthappa,45,40,1360,70,29.91,1120,121.43,0,7,2,78,44,0
2,M Ali,25,22,235,72,14.68,198,118.68,0,1,6,21,9,0
3,A Rayudu,48,41,1312,74,40.18,1148,114.29,0,4,3,87,52,0
4,S Dube,6,4,64,54,32.0,42,152.38,0,1,0,3,4,0
5,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,0
6,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,0
7,W Saha,40,33,1023,52,41.21,957,106.9,0,3,8,75,52,0
8,S Gill,45,41,1435,46,40.26,984,145.83,0,1,5,79,47,0
9,V Shankar,9,4,101,43,25.25,73,138.35,0,0,0,11,5,0
10,A Manohar,47,40,1440,76,24.2,1040,138.46,0,7,2,103,54,0
11,D Miller,72,62,1309,101,29.75,935,140.0,1,2,0,91,57,0
