,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,0
1,C Lynn,18,16,291,44,19.4,221,131.67,0,0,1,28,14,1
2,S Yadav,55,49,1813,42,34.28,1372,132.14,0,1,9,91,54,1
3,I Kishan,41,37,1332,74,38.6,962,138.46,0,6,1,93,40,0
4,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
5,K Pollard,68,58,1058,68,23,819,129.18,0,4,1,69,61,0
6,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,1
7,R Patidar,37,30,1110,53,31.93,690,160.87,0,2,6,96,41,0
8,G Maxwell,61,54,1576,145,35.02,985,160,3,7,1,133,81,1
9,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,1
10,D Christian,16,7,27,9,6.75,28,96.42,0,0,1,2,0,0
11,K Jamieson,55,49,1911,59,29.19,1127,169.57,0,4,6,103,44,0
