,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,P Shaw,42,37,1147,53,42.02,925,124,0,3,9,88,53,1
1,D Warner,76,76,2079,100,30.57,1476,140.85,1,15,5,203,86,0
2,R Powell,23,18,311,54,20.73,250,124.4,0,2,1,26,13,0
3,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,1
4,S Khan,1,1,7,7,7,6,116.66,0,0,0,1,0,1
5,K Rahul,34,31,1138,110,43.76,777,146.46,2,8,1,102,50,1
6,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,1
7,E Lewis,29,28,833,125,30.85,544,153.12,2,5,3,54,67,0
8,D Hooda,37,33,1023,51,32.36,924,110.71,0,2,2,92,45,0
9,A Badoni,54,48,1488,55,28.03,1296,114.81,0,4,1,75,41,1
10,A Tye,26,11,61,20,10.16,55,110.9,0,0,2,4,3,0
