,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,1
1,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,0
2,S Yadav,52,46,1518,51,38.03,1104,137.5,0,0,2,94,41,1
3,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,1
4,K Pollard,68,58,1058,68,23,819,129.18,0,4,1,69,61,1
5,B Cutting,7,5,40,29,10,27,148.14,0,0,1,2,3,0
6,S Malinga,79,30,128,27,7.11,153,83.66,0,0,6,9,4,0
7,A Rahane,47,42,1302,63,32.8,1218,106.9,0,4,3,101,44,0
8,S Samson,37,32,1184,76,40.26,896,132.14,0,3,7,79,44,0
9,S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12,1
10,B Stokes,23,20,232,38,15.46,178,130.33,0,0,1,20,9,0
11,R Parag,38,33,1254,75,38.52,759,165.22,0,3,2,94,50,1
12,A Turner,11,7,57,22,14.25,57,100,0,0,1,1,2,0
13,S Binny,52,45,1395,49,41.74,1170,119.23,0,3,5,82,46,1
14,D Kulkarni,42,38,1254,60,31.81,988,126.92,0,5,2,77,47,0
