,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
1,D Padikkal,50,45,1665,67,30.88,1035,160.87,0,7,0,74,47,1
2,R Patidar,41,34,1054,57,34.9,986,106.9,0,4,4,78,43,0
3,G Maxwell,61,54,1576,145,35.02,985,160,3,7,1,133,81,0
4,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,1
5,K Jamieson,55,49,1862,69,31.33,1225,152,0,6,2,93,52,1
6,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,0
7,S Gill,33,27,891,73,41.54,702,126.92,0,3,9,76,48,0
8,R Tripathi,39,32,1088,56,25.94,800,136,0,1,4,88,42,1
9,E Morgan,86,84,2002,91,29.88,1475,135.72,0,11,3,151,96,1
10,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,0
11,S Hasan,2,2,9,8,4.5,7,128.57,0,0,0,1,0,0
12,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,1
13,H Singh,3,3,23,17,7.66,48,47.91,0,0,0,1,0,0
14,C Varun,42,35,1330,70,30.48,980,135.71,0,1,4,77,48,1
15,M Krishna,50,46,1610,60,38.78,1058,152.17,0,1,7,89,54,0
