,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Gaikwad,52,47,1692,73,24.6,1316,128.57,0,5,8,93,46,0
1,D Conway,39,32,1184,52,24.26,832,142.31,0,6,5,90,47,0
2,M Ali,25,22,235,72,14.68,198,118.68,0,1,6,21,9,0
3,R Uthappa,48,41,1599,66,42.08,1066,150,0,5,4,87,54,0
4,A Rayudu,47,41,1394,44,35.37,1189,117.24,0,2,4,89,41,1
5,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,1
6,S Dube,6,4,64,54,32,42,152.38,0,1,0,3,4,0
7,S Singh,1,1,0,0,0,9,0,0,0,1,0,0,1
8,I Kishan,36,29,1015,59,41.35,812,125,0,5,8,90,51,1
9,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,1
10,T Varma,52,48,1488,52,24.32,1152,129.17,0,7,9,89,50,1
11,T Stubbs,55,50,1950,61,27.22,1150,169.57,0,3,7,80,52,0
12,R Singh,2,2,14,8,7,13,107.69,0,0,0,0,1,0
13,K Kartikeya,49,45,1710,48,40.77,1260,135.71,0,6,8,93,48,1
