,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,D Padikkal,49,45,1440,69,23.85,1305,110.34,0,5,0,86,53,0
1,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,1
2,K Bharat,41,37,1406,61,23.71,851,165.22,0,0,8,103,50,1
3,G Maxwell,61,54,1576,145,35.02,985,160,3,7,1,133,81,0
4,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,1
5,D Christian,16,7,27,9,6.75,28,96.42,0,0,1,2,0,0
6,G Garton,49,44,1628,44,41.77,1056,154.17,0,2,1,80,39,0
7,S Gill,49,42,1554,75,23.97,1218,127.59,0,5,7,98,42,1
8,V Iyer,47,40,1280,76,30.76,1160,110.34,0,4,1,97,55,1
9,R Tripathi,46,42,1344,72,28.87,1008,133.33,0,4,4,77,39,0
10,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,1
11,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,0
12,E Morgan,86,84,2002,91,29.88,1475,135.72,0,11,3,151,96,0
13,S Hasan,2,2,9,8,4.5,7,128.57,0,0,0,1,0,0
14,C Varun,46,42,1470,62,23.94,1092,134.62,0,0,6,93,41,0
