,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,J Roy,32,32,743,78,23.21,512,145.11,0,4,4,75,35,1
1,A Sharma,46,39,1365,74,40.06,975,140,0,4,6,76,42,0
2,K Williamson,57,55,1505,73,31.35,1236,121.76,0,9,2,158,26,1
3,P Garg,52,48,1872,69,25.15,1200,156,0,7,1,90,41,0
4,A Samad,56,51,1836,54,27.33,1377,133.33,0,0,3,84,41,0
5,W Saha,57,50,1950,63,25.07,1150,169.57,0,0,5,99,50,1
6,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
7,D Padikkal,46,39,1209,64,33.73,975,124,0,7,5,75,46,1
8,D Christian,16,7,27,9,6.75,28,96.42,0,0,1,2,0,1
9,K Bharat,55,49,1617,76,24.47,1225,132,0,6,6,89,46,0
10,G Maxwell,61,54,1576,145,35.02,985,160,3,7,1,133,81,1
11,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,1
12,G Garton,45,40,1440,73,29.38,1040,138.46,0,5,7,93,44,0
