,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,E Lewis,29,28,833,125,30.85,544,153.12,2,5,3,54,67,1
1,Y Jaiswal,46,40,1520,63,38.16,960,158.33,0,7,3,74,47,1
2,S Samson,40,34,1258,69,31.08,816,154.17,0,5,7,95,51,0
3,L Livingstone,2,2,16,16,8,19,84.21,0,0,1,1,0,1
4,M Lomror,37,30,1140,73,28.72,780,146.15,0,3,4,91,51,1
5,R Parag,55,50,1700,75,23.94,1200,141.67,0,3,6,84,44,0
6,C Morris,23,13,133,55,14.77,102,130.39,0,1,3,12,5,0
7,K Rahul,34,31,1138,110,43.76,777,146.46,2,8,1,102,50,1
8,M Agarwal,51,46,1702,59,38.82,1150,148,0,4,9,82,53,1
9,A Markram,2,2,18,15,9,17,105.88,0,0,0,1,1,1
10,N Pooran,16,16,312,58,24,247,126.31,0,2,1,24,17,1
11,D Hooda,50,44,1496,56,31.77,1188,125.93,0,1,1,78,54,0
12,F Allen,11,9,64,27,9.14,56,114.28,0,0,2,5,3,0
13,A Rashid,1,1,9,9,9,24,37.5,0,0,0,0,0,0
14,A Singh,55,50,1900,49,41.2,1150,165.22,0,7,3,91,44,1
