,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,1
1,P Patel,2,2,14,8,14,11,127.27,0,0,0,0,0,1
2,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,1
3,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,0
4,M Stoinis,19,14,136,33,15.11,117,116.23,0,0,1,14,2,1
5,M Ali,25,22,235,72,14.68,198,118.68,0,1,6,21,9,1
6,A Nath,56,52,1716,57,39.23,1508,113.79,0,0,7,82,53,0
7,A Rahane,50,44,1584,51,39.06,1012,156.52,0,7,2,100,52,1
8,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,0
9,S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12,1
10,R Tripathi,44,39,1443,53,37.93,1014,142.31,0,5,3,100,55,1
11,B Stokes,23,20,232,38,15.46,178,130.33,0,0,1,20,9,0
12,S Binny,46,42,1344,61,38.1,1008,133.33,0,6,9,83,41,0
13,D Kulkarni,35,31,1147,70,39.39,868,132.14,0,1,2,82,40,0
