,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,M Agarwal,35,30,1080,50,35.45,870,124.14,0,5,7,90,41,0
1,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,1
2,P Rajapaksa,5,5,131,77,32.75,95,137.89,0,1,0,7,9,1
3,L Livingstone,2,2,16,16,8,19,84.21,0,0,1,1,0,0
4,A Singh,42,37,1184,65,36.69,1073,110.34,0,2,3,95,52,0
5,A Rahane,36,30,1080,55,30.63,780,138.46,0,4,9,96,39,0
6,V Iyer,51,46,1702,44,30.91,1150,148,0,4,1,90,44,0
7,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,1
8,S Billings,26,23,348,87,17.4,255,136.47,0,2,1,33,11,0
9,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,1
10,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,1
11,C Varun,48,43,1634,53,36.16,1161,140.74,0,1,6,95,44,0
