,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,1
1,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,0
2,S Yadav,46,41,1476,57,29.58,1066,138.46,0,3,8,81,52,1
3,Y Singh,58,51,1177,77,28.02,863,136.38,0,8,1,77,74,0
4,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,1
5,K Pollard,68,58,1058,68,23,819,129.18,0,4,1,69,61,1
6,S Malinga,79,30,128,27,7.11,153,83.66,0,0,6,9,4,1
7,S Watson,51,46,1702,47,35.02,1288,132.14,0,7,2,100,53,0
8,A Rayudu,33,27,972,68,30.67,729,133.33,0,3,3,101,45,0
9,S Raina,78,66,1605,101,29.18,1190,134.87,1,5,3,145,58,1
10,K Jadhav,9,6,122,58,20.33,99,123.23,0,1,0,12,3,1
11,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,0
12,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,1
13,M Sharma,46,40,1400,57,39.46,1120,125,0,0,1,78,42,0
14,I Tahir,38,4,19,9,19,18,105.55,0,0,0,1,1,0
