,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Tripathi,40,35,1225,45,26.36,805,152.17,0,2,0,81,53,0
1,S Gill,34,28,1064,54,24.93,784,135.71,0,0,8,85,43,0
2,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,0
3,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,0
4,E Morgan,86,84,2002,91,29.88,1475,135.72,0,11,3,151,96,1
5,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,1
6,C Green,49,42,1470,69,29.29,1134,129.63,0,2,7,102,55,0
7,M Krishna,39,33,1089,67,34.05,759,143.48,0,5,8,82,52,0
8,C Varun,48,44,1584,63,31.78,1232,128.57,0,3,0,78,41,1
9,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,1
10,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,1
11,S Yadav,49,43,1548,44,40.01,1032,150,0,6,5,98,47,0
12,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,1
13,I Kishan,37,32,1088,51,29.89,800,136,0,2,5,74,48,0
14,K Pollard,68,58,1058,68,23,819,129.18,0,4,1,69,61,0
