,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,1
1,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,0
2,S Yadav,35,30,1080,69,25.33,870,124.14,0,5,4,88,40,1
3,K Pollard,68,58,1058,68,23,819,129.18,0,4,1,69,61,0
4,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,1
5,I Kishan,55,49,1862,65,41.43,1176,158.33,0,3,1,95,51,0
6,A Rahane,39,35,1155,62,35.57,980,117.86,0,6,1,91,52,1
7,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,1
8,S Samson,40,34,1054,75,34.48,918,114.81,0,1,5,86,46,1
9,S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12,0
10,R Tripathi,50,43,1677,64,25.4,1032,162.5,0,2,5,95,50,0
11,L Livingstone,2,2,16,16,8,19,84.21,0,0,1,1,0,0
12,D Kulkarni,45,38,1444,51,25.94,912,158.33,0,5,1,100,52,0
