,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
1,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,1
2,R Patidar,50,43,1376,54,31.26,1161,118.52,0,0,1,78,54,1
3,G Maxwell,61,54,1576,145,35.02,985,160,3,7,1,133,81,1
4,M Lomror,53,48,1872,63,29.52,1392,134.48,0,5,4,78,39,0
5,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,0
6,P Silva,2,2,22,21,11,22,100,0,0,0,1,0,0
7,Y Jaiswal,51,46,1748,62,28.7,1242,140.74,0,5,5,85,43,1
8,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,1
9,S Samson,45,38,1406,57,26.14,988,142.31,0,1,6,82,47,1
10,D Padikkal,47,42,1554,72,39.55,1092,142.31,0,3,0,95,54,0
11,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,0
12,R Parag,43,36,1404,47,27.53,1044,134.48,0,0,8,99,46,0
13,M Krishna,37,31,1116,42,29.43,713,156.52,0,1,5,78,55,1
