,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
1,D Padikkal,52,45,1710,48,23.93,1260,135.71,0,4,6,84,53,0
2,R Patidar,34,28,1064,42,27.17,700,152,0,4,9,75,51,1
3,G Maxwell,61,54,1576,145,35.02,985,160,3,7,1,133,81,1
4,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,1
5,K Jamieson,47,40,1520,46,24.97,1040,146.15,0,0,5,89,44,1
6,P Shaw,48,42,1302,73,36.16,966,134.78,0,0,9,103,48,0
7,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,0
8,S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12,0
9,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,1
10,M Stoinis,19,14,136,33,15.11,117,116.23,0,0,1,14,2,0
11,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,1
12,A Mishra,46,41,1312,62,32.57,984,133.33,0,3,6,90,45,0
13,I Sharma,40,33,1023,69,39.35,825,124,0,6,1,86,50,1
