,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,P Shaw,35,29,986,54,30.12,725,136,0,4,5,93,39,0
1,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,0
2,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,1
3,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,1
4,M Stoinis,19,14,136,33,15.11,117,116.23,0,0,1,14,2,0
5,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,1
6,I Kishan,57,50,1800,42,24.31,1150,156.52,0,6,8,99,39,1
7,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,1
8,S Yadav,33,28,1064,68,40.54,728,146.15,0,2,4,98,55,1
9,S Tiwary,38,34,1190,71,24.58,816,145.83,0,4,5,84,43,0
10,K Pollard,68,58,1058,68,23,819,129.18,0,4,1,69,61,0
