,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Gaikwad,54,50,1600,51,40.06,1300,123.08,0,4,0,79,45,0
1,D Conway,43,36,1332,71,40.23,1008,132.14,0,0,9,78,48,1
2,M Ali,25,22,235,72,14.68,198,118.68,0,1,6,21,9,1
3,N Jagadeesan,34,27,999,62,26.82,783,127.59,0,5,8,78,54,0
4,A Rayudu,45,40,1440,52,28.59,1120,128.57,0,3,5,79,40,0
5,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,1
6,S Singh,1,1,0,0,0,9,0,0,0,1,0,0,1
7,M Pathirana,50,44,1408,67,39.75,1144,123.08,0,2,0,75,50,0
8,Y Jaiswal,52,48,1536,59,33.22,1248,123.08,0,1,6,74,51,1
9,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,0
10,S Samson,44,38,1330,71,35.75,1102,120.69,0,7,6,95,53,0
11,D Padikkal,49,44,1496,56,31.11,1012,147.83,0,5,7,84,52,1
12,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,0
13,R Parag,57,52,2028,59,26.3,1508,134.48,0,0,7,102,49,0
14,M Krishna,36,32,1056,50,34.07,800,132,0,0,7,94,48,0
