,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Gaikwad,50,45,1620,62,29.78,1260,128.57,0,0,5,97,43,0
1,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,1
2,R Uthappa,46,41,1517,76,23.51,1148,132.14,0,1,9,87,54,1
3,M Ali,25,22,235,72,14.68,198,118.68,0,1,6,21,9,1
4,A Rayudu,43,37,1295,59,24.91,851,152.17,0,3,6,87,46,0
5,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,0
6,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,1
7,S Gill,53,49,1617,48,31.81,1421,113.79,0,5,6,84,40,1
8,V Iyer,46,42,1596,71,41.88,1176,135.71,0,7,3,78,45,1
9,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,0
10,E Morgan,86,84,2002,91,29.88,1475,135.72,0,11,3,151,96,0
11,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,1
12,S Hasan,2,2,9,8,4.5,7,128.57,0,0,0,1,0,0
13,R Tripathi,41,37,1295,59,32.73,1073,120.69,0,3,4,100,48,0
14,C Varun,48,43,1333,76,42.08,1075,124,0,3,1,90,48,0
