,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,I Kishan,39,33,1023,61,27.21,825,124,0,1,2,75,46,1
1,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,1
2,D Brevis,39,34,1088,44,30.95,850,128,0,5,8,74,48,1
3,S Yadav,39,34,1088,51,30.14,986,110.34,0,0,3,76,51,1
4,T Varma,49,43,1677,67,24.01,1075,156,0,0,7,103,48,0
5,K Pollard,68,58,1058,68,23,819,129.18,0,4,1,69,61,0
6,R Singh,2,2,14,8,7,13,107.69,0,0,0,0,1,0
7,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,0
8,A Rawat,45,39,1365,64,29.29,897,152.17,0,3,1,87,54,1
9,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,1
10,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,0
11,G Maxwell,61,54,1576,145,35.02,985,160,3,7,1,133,81,1
12,P Silva,2,2,22,21,11,22,100,0,0,0,1,0,0
