,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,P Shaw,43,38,1216,71,32.25,912,133.33,0,6,2,96,54,0
1,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,1
2,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,0
3,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,1
4,M Stoinis,19,14,136,33,15.11,117,116.23,0,0,1,14,2,0
5,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,0
6,K Rahul,34,31,1138,110,43.76,777,146.46,2,8,1,102,50,0
7,M Agarwal,41,34,1088,66,29.55,884,123.08,0,7,8,103,50,1
8,C Gayle,58,54,1627,117,32.54,1139,142.84,2,13,3,138,105,1
9,N Pooran,16,16,312,58,24,247,126.31,0,2,1,24,17,1
10,G Maxwell,61,54,1576,145,35.02,985,160,3,7,1,133,81,1
11,D Hooda,51,44,1540,49,32.23,1232,125,0,7,1,77,46,0
12,A Singh,39,35,1295,47,34.16,910,142.31,0,2,2,99,39,0
